"volsdepart","volsdepartcode","volsarrivee","volsarriveecode","volsdist","volstrain3h","volstrain6h"
"Bordeaux/Mérignac","BOD","Bordeaux/Mérignac","BOD",0,,
"Brazzaville","BZV","Ouesso","BZV",0,,
"New Delhi ","DEL","Dehradun","DED",417,"Non","Oui"
"Montpellier/Méditerranée","MPL","Toulouse","TLS",419,"Oui","Oui"
"Vientiane","VTE","Luang Prabang","LPQ",433,"Non","Non"
"Kathmandu","KTM","Biratnagar","BIR",464,"Non","Non"
"Beyrouth, Liban","BEY","Amman, Jordanie","AMM",477,"Non","Non"
"Montpellier/Méditerranée","MPL","Nice","NCE",525,"Non","Parfois"
"Lyon","LYS","Sesto","MXP",568,"Non","Oui"
"Lyon","LYS","Nice","NCE",571,"Non","Oui"
"Limoges","LIG","Lyon","LYS",606,"Non","Parfois"
"Lyon","LYS","Limoges/Bellegarde","LIG",606,"Non","Parfois"
"Toulouse/Blagnac","TLS","Marseille","MRS",624,"Non","Oui"
"Marseille","MRS","Toulouse/Blagnac","TLS",624,"Non","Oui"
"São Paulo","GRU","Rio De Janeiro","GIG",674,"Non","Non"
"Marseille","MRS","Ajaccio","AJA",676,"Non","Non"
"Brest/Guipavas","BES","Bath","BRS",697,"Non","Non"
"Kathmandu","KTM","Jumla","JUM",712,"Non","Non"
"Marseille","MRS","BASTIA","BIA",721,"Non","Non"
"Clermont-Ferrand/Auvergne","CFE","Paris","CDG",724,"Non","Oui"
"Paris","CDG","Clermont-Ferrand/Auvergne","CFE",724,"Non","Oui"
"Strasbourg","SXB","Lyon","LYS",735,"Non","Oui"
"toulouse","TLS","grenoble","GNB",739,"Non","Oui"
"Marseille","MRS","Milan","MXP",740,"Non","Non"
"Paris","CDG","Nantes","NTE",744,"Oui","Oui"
"Metz / Nancy","ETZ","Lyon","LYS",746,"Non","Oui"
"Lyon","LYS","NANCY","ETZ",746,"Non","Oui"
"Lyon","LYS","Toulouse/Blagnac","TLS",751,"Non","Parfois"
"Toulouse/Blagnac","TLS","Lyon","LYS",751,"Non","Parfois"
"Paris","CDG","Strasbourg","SXB",752,"Oui","Oui"
"Paris","CDG","London","LTN",760,"Oui","Oui"
"London","LTN","Paris","CDG",760,"Oui","Oui"
"Lyon ","LYS","Poitiers/Biard","PIS",761,"Non","Oui"
"Poitiers/Biard","PIS","Lyon","LYS",761,"Non","Oui"
"Toulouse/Blagnac","TLS","Toulon/Hyères/Le Palyvestre","TLN",783,"Non","Oui"
"Paris","CDG","Düsseldorf","DUS",786,"Non","Oui"
"Nantes","NTE","Clermont-Ferrand/Auvergne","CFE",793,"Non","Parfois"
"Lille/Lesquin","LIL","Strasbourg","SXB",796,"Non","Oui"
"Montpellier/Méditerranée","MPL","Bordeaux/Mérignac","BOD",797,"Non","Oui"
"Paris","CDG","Amsterdam","AMS",797,"Non","Oui"
"Stockholm","ARN","Helsinki","HEL",798,"Non","Non"
"Paris","CDG","geneve","GVA",816,"Non","Oui"
"Boston","BOS","Montréal","YUL",819,"Non","Non"
"Poitiers/Biard","PIS","Brest/Guipavas","BES",822,"Non","Parfois"
"Cagliari","CAG","Rome","CIA",825,"Non","Non"
"Abidjan","ABJ","Accra","ACC",837,"Non","Non"
"Niamey","NIM","Ouaga","OUA",840,"Non","Non"
"Pau/Pyrénées (Uzein)","PUF","Nantes","NTE",861,"Non","Non"
"Luxembourg","LUX","Munich","MUC",863,"Non","Non"
"Ho-Chi-Minh-Ville/Saïgon","SGN","Quy nhon","UIH",870,"Non","Non"
"Paris","CDG","Bern","BRN",873,"Non","Oui"
"Bale","BSL","Nice","NCE",877,"Non","Non"
"Nice","NCE","Bâle/Mulhouse","BSL",877,"Non","Non"
"Geneva","GVA","Pisa","PSA",882,"Non","Non"
"Montpellier","MPL","Milan","MXP",883,"Non","Non"
"Paris","CDG","Frankfurt am Main","FRA",899,"Non","Oui"
"Boston","BOS","Philadelphia","PHL",901,"Non","Oui"
"Toulouse","TLS","Cannes","CEQ",901,"Non","Non"
"Bordeaux/Mérignac","BOD","Barcelona","BCN",908,"Non","Non"
"Toulouse","TLS","Nantes","NTE",912,"Non","Non"
"Nantes","NTE","Toulouse","TLS",912,"Non","Non"
"Paris","CDG","Bristol","BRS",917,"Non","Oui"
"Bordeaux/Mérignac","BOD","Lyon","LYS",930,"Non","Oui"
"Lyon","LYS","Bordeaux","BOD",930,"Non","Oui"
"Nice","NCE","Toulouse/Blagnac","TLS",943,"Non","Non"
"Toulouse","TLS","Nice","NCE",943,"Non","Non"
"Geneva","GVA","Toulouse/Blagnac","TLS",947,"Non","Non"
"Toulouse","TLS","Geneva","GVA",947,"Non","Non"
"Brest","BES","Cork","ORK",953,"Non","Non"
"Paris","CDG","Zurich","ZRH",954,"Non","Oui"
"Bordeaux","BOD","grenoble","GNB",957,"Non","Non"
"Auckland","AKL","Wellington","WLG",962,"Non","Non"
"Kathmandu","KTM","Dhanghadi ","DHI",966,"Non","Non"
"Toulouse/Blagnac","TLS","valence (espagne)","VLC",972,"Non","Non"
"Nice","NCE","Rome","CIA",972,"Non","Non"
"Paris","CDG","Birmingham","BHX",976,"Non","Oui"
"Lyon","LYS","la Rochelle","LRH",977,"Non","Parfois"
"Bastia/Poretta","BIA","Geneva","GVA",980,"Non","Non"
"Geneva","GVA","Venice","VCE",981,"Non","Non"
"Bordeaux/Mérignac","BOD","Brest/Guipavas","BES",985,"Non","Non"
"Hanoi ","HAN","Vientiane","VTE",990,"Non","Non"
"Marseille","MRS","Fribourg","BSL",992,"Non","Oui"
"Nice","NCE","Barcelona","BCN",994,"Non","Non"
"Lyon","LYS","Bastia/Poretta","BIA",997,"Non","Non"
"Bordeaux","BOD","Marseilles","MRS",998,"Non","Oui"
"Marseille","MRS","Bordeaux","BOD",998,"Non","Oui"
"Limoges/Bellegarde","LIG","Toulon/Hyères/Le Palyvestre","TLN",1000,"Non","Non"
"Lyon","LYS","Bologna","BLQ",1010,"Non","Non"
"Libreville","LBV","Franceville","MVB",1012,"Non","Non"
"Lyon","LYS","Pau/Pyrénées (Uzein)","PUF",1017,"Non","Non"
"Lyon","LYS","Innsbruck, Autriche","INN",1019,"Non","Non"
"Limoges","LIG","Brest","BES",1024,"Non","Non"
"Paris","CDG","Brest/Guipavas","BES",1031,"Non","Oui"
"Brest/Guipavas","BES","Paris","CDG",1031,"Non","Oui"
"Lyon","LYS","Ajaccio/Napoléon Bonaparte","AJA",1036,"Non","Non"
"Poitiers/Biard","PIS","Marseille","MRS",1044,"Non","Oui"
"Paris","CDG","bordeaux","BOD",1055,"Oui","Oui"
"Athens","ATH","Tirana","TIA",1060,"Non","Non"
"Rennes/Saint-Jacques","RNS","Pau/Pyrénées (Uzein)","PUF",1064,"Non","Non"
"Geneva","GVA","Brussels","BRU",1065,"Non","Oui"
"Nantes","NTE","Londres","LTN",1066,"Non","Oui"
"Paris","CDG","lindau","FDH",1072,"Non","Non"
"Nantes","NTE","Lyon","LYS",1074,"Non","Oui"
"Lyon","LYS","Nantes","NTE",1074,"Non","Oui"
"Toulouse","TLS","Madrid","MAD",1075,"Non","Non"
"Bordeaux/Mérignac","BOD","Madrid","MAD",1076,"Non","Non"
"Strasbourg","SXB","Nice","NCE",1088,"Non","Non"
"Nice","NCE","Strasbourg","SXB",1088,"Non","Non"
"Lyon","LYS","Frankfurt am Main","FRA",1091,"Non","Non"
"Francfort","FRA","Lyon","LYS",1091,"Non","Non"
"Marseille","MRS","Biarritz","BIQ",1091,"Non","Non"
"Lyon","LYS","Barcelone","BCN",1098,"Non","Oui"
"Rennes/Saint-Jacques","RNS","Toulouse/Blagnac","TLS",1099,"Non","Non"
"Toulouse/Blagnac","TLS","Rennes/Saint-Jacques","RNS",1099,"Non","Non"
"Belém (Brésil)","BEL","Parauapebas (Brésil)","CKS",1107,"Non","Non"
"bordeaux","BOD","Geneva","GVA",1109,"Non","Non"
"Bâle/Mulhouse","BSL","Amsterdam","AMS",1123,"Non","Non"
"Caen/Carpiquet","CFR","Lyon","LYS",1132,"Non","Oui"
"Lyon","LYS","Padoue","VCE",1133,"Non","Non"
"Bâle/Mulhouse","BSL","Prague","PRG",1133,"Non","Non"
"Brest","BES","Dublin","DUB",1137,"Non","Non"
"Kuwait City","KWI","Doha","DOH",1137,"Non","Non"
"Geneva","GVA","Trieste","TRS",1141,"Non","Non"
"Paris","CDG","Turin","TRN",1147,"Non","Oui"
"Lyon","LYS","Brussels","BRU",1156,"Non","Oui"
"Lyon","LYS","Rennes","RNS",1160,"Non","Oui"
"rennes","RNS","Lyon","LYS",1160,"Non","Oui"
"Lyon","LYS","Munich","MUC",1173,"Non","Non"
"limoges","LIG","Milan","MXP",1173,"Non","Non"
"Lima","LIM","Cusco","CUZ",1173,"Non","Non"
