CODGEO;LIBGEO;AU2010;LIBAU2010;CATAEU2010;DEP;REG
1001;L'Abergement-Clémenciat;997;Multipolarisé des grands pôles;120;1;84
1002;L'Abergement-de-Varey;2;Lyon;112;1;84
1004;Ambérieu-en-Bugey;2;Lyon;112;1;84
1005;Ambérieux-en-Dombes;2;Lyon;112;1;84
1006;Ambléon;998;Autre multipolarisé;300;1;84
1007;Ambronay;2;Lyon;112;1;84
1008;Ambutrix;2;Lyon;112;1;84
1009;Andert-et-Condon;294;Belley;212;1;84
1010;Anglefort;998;Autre multipolarisé;300;1;84
1011;Apremont;165;Oyonnax;112;1;84
1012;Aranc;998;Autre multipolarisé;300;1;84
1013;Arandas;2;Lyon;112;1;84
1014;Arbent;165;Oyonnax;111;1;84
1015;Arboys en Bugey;294;Belley;212;1;84
1016;Arbigny;997;Multipolarisé des grands pôles;120;1;84
1017;Argis;2;Lyon;112;1;84
1019;Armix;997;Multipolarisé des grands pôles;120;1;84
1021;Ars-sur-Formans;2;Lyon;112;1;84
1022;Artemare;998;Autre multipolarisé;300;1;84
1023;Asnières-sur-Saône;88;Mâcon;112;1;84
1024;Attignat;71;Bourg-en-Bresse;112;1;84
1025;Bâgé-Dommartin;88;Mâcon;112;1;84
1026;Bâgé-le-Châtel;88;Mâcon;112;1;84
1027;Balan;2;Lyon;112;1;84
1028;Baneins;2;Lyon;112;1;84
1029;Beaupont;71;Bourg-en-Bresse;112;1;84
1030;Beauregard;2;Lyon;111;1;84
1031;Bellignat;165;Oyonnax;111;1;84
1032;Béligneux;2;Lyon;112;1;84
1033;Valserhône;340;Valserhône;221;1;84
1034;Belley;294;Belley;211;1;84
1035;Belleydoux;165;Oyonnax;112;1;84
1036;Valromey-sur-Séran;998;Autre multipolarisé;300;1;84
1037;Bénonces;2;Lyon;112;1;84
1038;Bény;71;Bourg-en-Bresse;112;1;84
1039;Béon;998;Autre multipolarisé;300;1;84
1040;Béréziat;71;Bourg-en-Bresse;112;1;84
1041;Bettant;2;Lyon;112;1;84
1042;Bey;88;Mâcon;112;1;84
1043;Beynost;2;Lyon;111;1;84
1044;Billiat;998;Autre multipolarisé;300;1;84
1045;Birieux;2;Lyon;112;1;84
1046;Biziat;997;Multipolarisé des grands pôles;120;1;84
