AU2010;LIBAU2010;TAU2016;NB_COM
0;Communes isolées hors influence des pôles;0;7006
1;Paris;10;1751
2;Lyon;9;498
3;Marseille - Aix-en-Provence;9;90
4;Toulouse;9;452
5;Lille (partie française);9;125
6;Bordeaux;9;251
7;Nice;9;129
8;Nantes;9;108
9;Strasbourg (partie française);9;258
10;Grenoble;9;192
11;Rennes;9;182
12;Rouen;9;274
13;Toulon;9;40
14;Douai - Lens;9;103
15;Montpellier;9;115
16;Avignon;9;97
17;Saint-Étienne;9;117
18;Tours;8;140
19;Clermont-Ferrand;8;182
20;Nancy;8;284
21;Orléans;8;134
22;Caen;8;222
23;Angers;8;77
24;Metz;8;214
25;Dijon;8;292
26;Valenciennes (partie française);8;90
27;Béthune;8;122
28;Le Mans;8;122
29;Reims;8;229
30;Brest;8;51
31;Perpignan;8;66
32;Le Havre;8;81
33;Amiens;8;254
34;Mulhouse;8;60
35;Limoges;8;94
36;Bayonne (partie française);8;60
37;Genève (SUI) - Annemasse (partie française);8;114
38;Dunkerque;8;55
39;Poitiers;8;91
40;Nîmes;8;50
41;Besançon;8;251
42;Pau;8;167
43;Lorient;8;29
44;Annecy;8;59
45;Chambéry;8;84
46;Saint-Nazaire;8;29
47;La Rochelle;8;63
48;Troyes;7;147
49;Angoulême;7;103
50;Valence;7;41
51;Saint-Brieuc;7;44
52;Montbéliard;7;121
53;Béziers;7;40
54;Niort;7;69
55;Vannes;7;32
56;Chartres;7;86
57;Bourges;7;71
58;Boulogne-sur-Mer;7;49
59;Thionville;7;15
60;Chalon-sur-Saône;7;90
61;Maubeuge (partie française);7;55
62;Arras;7;114
63;Calais;7;32
64;Colmar;7;39
65;Blois;7;67
66;Quimper;7;21
67;Beauvais;7;125
68;Cherbourg-en-Cotentin;7;36
69;Laval;7;46
70;Creil;7;23
71;Bourg-en-Bresse;7;67
72;Tarbes;7;110
73;Belfort;7;67
74;Saint-Quentin;7;99
75;La Roche-sur-Yon;7;22
76;Vienne;7;40
77;Évreux;7;81
78;Alès;7;52
79;Agen;7;64
80;Charleville-Mézières;7;100
81;Roanne;7;50
82;Sarrebruck (ALL) - Forbach (partie française);6;25
83;Nevers;6;57
84;Cholet;7;19
85;Brive-la-Gaillarde;7;44
86;Montauban;7;33
87;Périgueux;7;43
88;Mâcon;7;67
89;Compiègne;6;47
90;Ajaccio;7;53
91;Albi;7;44
92;Carcassonne;6;71
93;Châteauroux;6;44
94;Fréjus;6;3
95;Épinal;6;72
96;Auxerre;6;68
